index,genres,keywords,original_title,title,cast,director
30,Action Adventure Fantasy,dual identity love of one's life pizza boy marvel comic sequel,Spider-Man 2,Spider-Man 2,Tobey Maguire Kirsten Dunst James Franco Alfred Molina Rosemary Harris,Sam Raimi
31,Action Adventure Science Fiction,terrorist war on terror tennessee malibu marvel comic,Iron Man 3,Iron Man 3,Robert Downey Jr. Gwyneth Paltrow Don Cheadle Guy Pearce Rebecca Hall,Shane Black
32,Family Fantasy Adventure,based on novel fictional place queen fantasy alice in wonderland,Alice in Wonderland,Alice in Wonderland,Mia Wasikowska Johnny Depp Anne Hathaway Helena Bonham Carter Crispin Glover,Tim Burton
33,Adventure Action Science Fiction Thriller,mutant marvel comic based on comic book superhuman beast,X-Men: The Last Stand,X-Men: The Last Stand,Hugh Jackman Halle Berry Ian McKellen Patrick Stewart Famke Janssen,Brett Ratner
34,Animation Family,monster dormitory games animation best friend,Monsters University,Monsters University,Billy Crystal John Goodman Steve Buscemi Helen Mirren Noah Johnston,Dan Scanlon
35,Science Fiction Action Adventure,egypt sun chaos symbol artifact,Transformers: Revenge of the Fallen,Transformers: Revenge of the Fallen,Shia LaBeouf Megan Fox Josh Duhamel Rainn Wilson Tyrese Gibson,Michael Bay
36,Science Fiction Action Adventure,sequel alien transformers giant robot robot,Transformers: Age of Extinction,Transformers: Age of Extinction,Mark Wahlberg Stanley Tucci Kelsey Grammer Nicola Peltz Jack Reynor,Michael Bay
37,Fantasy Adventure Family,circus witch magic hope illusion,Oz: The Great and Powerful,Oz: The Great and Powerful,James Franco Mila Kunis Rachel Weisz Michelle Williams Zach Braff,Sam Raimi
38,Action Adventure Fantasy,obsession marvel comic sequel based on comic book electrocution,The Amazing Spider-Man 2,The Amazing Spider-Man 2,Andrew Garfield Emma Stone Jamie Foxx Dane DeHaan Campbell Scott,Marc Webb
39,Adventure Action Science Fiction,artificial intelligence secret identity computer program dystopia computer,TRON: Legacy,TRON: Legacy,Garrett Hedlund Jeff Bridges Olivia Wilde Bruce Boxleitner Yaya DaCosta,Joseph Kosinski
40,Animation Family Adventure Comedy,car race sequel comedy anthropomorphism best friend,Cars 2,Cars 2,Owen Wilson Larry the Cable Guy Michael Caine Emily Mortimer John Turturro,John Lasseter
41,Adventure Action Thriller Science Fiction,dc comics transformation superhero alien alien infection,Green Lantern,Green Lantern,Ryan Reynolds Blake Lively Peter Sarsgaard Tim Robbins Mark Strong,Martin Campbell
42,Animation Family Comedy,hostage college toy barbie animation,Toy Story 3,Toy Story 3,Tom Hanks Tim Allen Ned Beatty Joan Cusack Michael Keaton,Lee Unkrich
43,Action Science Fiction Thriller,saving the world artificial intelligence prophecy san francisco cyborg,Terminator Salvation,Terminator Salvation,Christian Bale Sam Worthington Anton Yelchin Moon Bloodgood Bryce Dallas Howard,McG
44,Action,car race speed revenge suspense car,Furious 7,Furious 7,Vin Diesel Paul Walker Dwayne Johnson Michelle Rodriguez Tyrese Gibson,James Wan
45,Action Drama Horror Science Fiction Thriller,dystopia apocalypse zombie nuclear weapons multiple perspectives,World War Z,World War Z,Brad Pitt Mireille Enos Abigail Hargrove Sterling Jerins James Badge Dale,Marc Forster
46,Action Adventure Fantasy Science Fiction,1970s mutant time travel marvel comic based on comic book,X-Men: Days of Future Past,X-Men: Days of Future Past,Hugh Jackman James McAvoy Michael Fassbender Jennifer Lawrence Halle Berry,Bryan Singer
47,Action Adventure Science Fiction,spacecraft friendship sequel futuristic space,Star Trek Into Darkness,Star Trek Into Darkness,Chris Pine Zachary Quinto Zoe Saldana Karl Urban Simon Pegg,J.J. Abrams
48,Action Family Fantasy,based on fairy tale giant,Jack the Giant Slayer,Jack the Giant Slayer,Nicholas Hoult Eleanor Tomlinson Ewan McGregor Stanley Tucci Ian McShane,Bryan Singer
49,Drama Romance,based on novel infidelity obsession hope 3d,The Great Gatsby,The Great Gatsby,Leonardo DiCaprio Tobey Maguire Carey Mulligan Joel Edgerton Elizabeth Debicki,Baz Luhrmann
50,Adventure Fantasy Action Romance,persia sandstorm brother against brother armageddon regent,Prince of Persia: The Sands of Time,Prince of Persia: The Sands of Time,Jake Gyllenhaal Gemma Arterton Ben Kingsley Alfred Molina Steve Toussaint,Mike Newell
51,Action Science Fiction Adventure,dystopia giant robot giant monster apocalypse imax,Pacific Rim,Pacific Rim,Idris Elba Charlie Hunnam Charlie Day Ron Perlman Burn Gorman,Guillermo del Toro
52,Action Science Fiction Adventure,moon spacecraft traitor bodyguard alien planet,Transformers: Dark of the Moon,Transformers: Dark of the Moon,Shia LaBeouf John Malkovich Ken Jeong Frances McDormand Josh Duhamel,Michael Bay
53,Adventure Action,saving the world riddle whip treasure mexico city,Indiana Jones and the Kingdom of the Crystal Skull,Indiana Jones and the Kingdom of the Crystal Skull,Harrison Ford Cate Blanchett Shia LaBeouf Ray Winstone Karen Allen,Steven Spielberg
54,Adventure Animation Family,tyrannosaurus rex friends alternate history dinosaur fear,The Good Dinosaur,The Good Dinosaur,Raymond Ochoa Jack Bright Jeffrey Wright Frances McDormand Maleah Nipay-Padilla,Peter Sohn
55,Animation Adventure Comedy Family Action,scotland rebel bravery kingdom archer,Brave,Brave,Kelly Macdonald Julie Walters Billy Connolly Emma Thompson Kevin McKidd,Brenda Chapman
56,Action Adventure Science Fiction,sequel stranded hatred space opera,Star Trek Beyond,Star Trek Beyond,Chris Pine Zachary Quinto Karl Urban Simon Pegg Zoe Saldana,Justin Lin
57,Animation Family,romantic comedy,WALL·E,WALL·E,Ben Burtt Elissa Knight Jeff Garlin Fred Willard John Ratzenberger,Andrew Stanton
58,Action Comedy Crime Thriller,ambassador,Rush Hour 3,Rush Hour 3,Chris Tucker Jackie Chan Hiroyuki Sanada Max von Sydow Yvan Attal,Brett Ratner
59,Action Adventure Science Fiction,civilization natural disaster end of the world disaster apocalypse,2012,2012,John Cusack Amanda Peet Chiwetel Ejiofor Thandie Newton Oliver Platt,Roland Emmerich
60,Animation Drama,holiday based on novel victorian england money christmas eve,A Christmas Carol,A Christmas Carol,Gary Oldman Jim Carrey Steve Valentine Daryl Sabara Sage Ryan,Robert Zemeckis
61,Science Fiction Fantasy Action Adventure,jupiter space woman director 3d interspecies romance,Jupiter Ascending,Jupiter Ascending,Mila Kunis Channing Tatum Sean Bean Eddie Redmayne Douglas Booth,Lilly Wachowski
62,Action Adventure,africa feral child tarzan jungle animal attack,The Legend of Tarzan,The Legend of Tarzan,Alexander Skarsg\u00e5rd Margot Robbie Christoph Waltz Samuel L. Jackson Djimon Hounsou,David Yates
63,Adventure Family Fantasy,saving the world witch based on novel brother sister relationship self sacrifice,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",William Moseley Anna Popplewell Skandar Keynes Georgie Henley Liam Neeson,Andrew Adamson
64,Science Fiction,mutant supernatural powers marvel comic superhero based on comic book,X-Men: Apocalypse,X-Men: Apocalypse,James McAvoy Michael Fassbender Jennifer Lawrence Nicholas Hoult Oscar Isaac,Bryan Singer
65,Drama Action Crime Thriller,dc comics crime fighter secret identity scarecrow sadism,The Dark Knight,The Dark Knight,Christian Bale Heath Ledger Aaron Eckhart Michael Caine Maggie Gyllenhaal,Christopher Nolan
66,Animation Comedy Family Adventure,age difference central and south america balloon animation floating in the air,Up,Up,Ed Asner Christopher Plummer Jordan Nagai Bob Peterson Delroy Lindo,Pete Docter
67,Animation Family Adventure Science Fiction,alien giant robot duringcreditsstinger,Monsters vs Aliens,Monsters vs Aliens,Seth Rogen Reese Witherspoon Hugh Laurie Paul Rudd Kiefer Sutherland,Conrad Vernon
68,Action Science Fiction Adventure,middle east arms dealer malibu marvel comic superhero,Iron Man,Iron Man,Robert Downey Jr. Terrence Howard Jeff Bridges Shaun Toub Gwyneth Paltrow,Jon Favreau
69,Adventure Drama Family,library clock film director key toy,Hugo,Hugo,Ben Kingsley Sacha Baron Cohen Asa Butterfield Chlo\u00eb Grace Moretz Ray Winstone,Martin Scorsese
70,Action Adventure Comedy Science Fiction Western,steampunk based on tv series steam locomotive drag,Wild Wild West,Wild Wild West,Will Smith Kevin Kline Kenneth Branagh Salma Hayek M. Emmet Walsh,Barry Sonnenfeld
71,Adventure Action Fantasy,,The Mummy: Tomb of the Dragon Emperor,The Mummy: Tomb of the Dragon Emperor,Brendan Fraser Jet Li John Hannah Maria Bello Luke Ford,Rob Cohen
72,Action Adventure Crime Fantasy Science Fiction,dc comics shared universe anti hero secret mission villain,Suicide Squad,Suicide Squad,Will Smith Margot Robbie Joel Kinnaman Viola Davis Jared Leto,David Ayer
73,Fantasy Comedy Family,father son relationship daily life married couple support father,Evan Almighty,Evan Almighty,Steve Carell Lauren Graham John Goodman Jimmy Bennett John Michael Higgins,Tom Shadyac
74,Action Science Fiction,deja vu time warp restart dystopia war,Edge of Tomorrow,Edge of Tomorrow,Tom Cruise Emily Blunt Brendan Gleeson Bill Paxton Jonas Armstrong,Doug Liman
75,Adventure Action,ocean tattoo mutant water dystopia,Waterworld,Waterworld,Kevin Costner Chaim Girafi Rick Aviles R. D. Call Zitto Kazann,Kevin Reynolds
76,Adventure Action Thriller Science Fiction,terrorist secret hostage technology warhead,G.I. Joe: The Rise of Cobra,G.I. Joe: The Rise of Cobra,Dennis Quaid Channing Tatum Marlon Wayans Sienna Miller Joseph Gordon-Levitt,Stephen Sommers
77,Drama Comedy Animation Family,dream cartoon imaginary friend animation family,Inside Out,Inside Out,Amy Poehler Phyllis Smith Richard Kind Bill Hader Lewis Black,Pete Docter
78,Family Adventure Drama Fantasy,based on novel snake wolf elephant tiger,The Jungle Book,The Jungle Book,Neel Sethi Bill Murray Ben Kingsley Idris Elba Scarlett Johansson,Jon Favreau
79,Adventure Action Science Fiction,malibu marvel comic superhero based on comic book revenge,Iron Man 2,Iron Man 2,Robert Downey Jr. Gwyneth Paltrow Don Cheadle Scarlett Johansson Mickey Rourke,Jon Favreau
80,Adventure Fantasy Drama,queen magic fairy tale immortality forest,Snow White and the Huntsman,Snow White and the Huntsman,Kristen Stewart Charlize Theron Chris Hemsworth Sam Claflin Ian McShane,Rupert Sanders
81,Fantasy Adventure Action Family Romance,fairy tale villain sleeping beauty dark fantasy based on fairy tale,Maleficent,Maleficent,Angelina Jolie Elle Fanning Sharlto Copley Sam Riley Juno Temple,Robert Stromberg
82,Science Fiction Action Drama Thriller,leader colony post-apocalyptic dystopia forest,Dawn of the Planet of the Apes,Dawn of the Planet of the Apes,Andy Serkis Jason Clarke Gary Oldman Keri Russell Toby Kebbell,Matt Reeves
83,Action Adventure Science Fiction Romance,,The Lovers,The Lovers,Josh Hartnett Simone Kessell Tamsin Egerton Alice Englert Bipasha Basu,Roland Joff\u00e9
84,Drama Action Adventure Fantasy,japan suicide samurai based on true story samurai sword,47 Ronin,47 Ronin,Keanu Reeves Hiroyuki Sanada Kou Shibasaki Tadanobu Asano Min Tanaka,Carl Rinsch
85,Action Adventure Science Fiction,washington d.c. future shield marvel comic superhero,Captain America: The Winter Soldier,Captain America: The Winter Soldier,Chris Evans Samuel L. Jackson Scarlett Johansson Robert Redford Sebastian Stan,Anthony Russo
86,Comedy Adventure Fantasy Animation Family,ogre 3d,Shrek Forever After,Shrek Forever After,Mike Myers Eddie Murphy Cameron Diaz Antonio Banderas Julie Andrews,Mike Mitchell
87,Adventure Family Mystery Science Fiction,inventor apocalypse destiny imax dreamer,Tomorrowland,Tomorrowland,Britt Robertson George Clooney Raffey Cassidy Thomas Robinson Hugh Laurie,Brad Bird
88,Adventure Family Animation Action Comedy,brother brother relationship hero talent revenge best friend,Big Hero 6,Big Hero 6,Scott Adsit Ryan Potter Daniel Henney T.J. Miller Jamie Chung,Chris Williams
89,Family Animation Comedy Adventure,support group product placement bullying racing arcade,Wreck-It Ralph,Wreck-It Ralph,John C. Reilly Sarah Silverman Jack McBrayer Jane Lynch Alan Tudyk,Rich Moore
90,Adventure Animation Family Fantasy,santa claus nerd faith gift bell,The Polar Express,The Polar Express,Tom Hanks Michael Jeter Nona Gaye Peter Scolari Eddie Deezen,Robert Zemeckis
91,Action Adventure Science Fiction,alternate history alien invasion,Independence Day: Resurgence,Independence Day: Resurgence,Liam Hemsworth Jeff Goldblum Bill Pullman Maika Monroe Sela Ward,Roland Emmerich
92,Fantasy Adventure Animation Family,flying blacksmith arena island night,How to Train Your Dragon,How to Train Your Dragon,Jay Baruchel Gerard Butler Craig Ferguson America Ferrera Jonah Hill,Chris Sanders
93,Action Thriller Science Fiction,saving the world artificial intelligence man vs machine cyborg killer robot,Terminator 3: Rise of the Machines,Terminator 3: Rise of the Machines,Arnold Schwarzenegger Nick Stahl Claire Danes Kristanna Loken David Andrews,Jonathan Mostow
94,Action Science Fiction Adventure,marvel comic spaceship space outer space orphan,Guardians of the Galaxy,Guardians of the Galaxy,Chris Pratt Zoe Saldana Dave Bautista Vin Diesel Bradley Cooper,James Gunn
95,Adventure Drama Science Fiction,saving the world artificial intelligence father son relationship single parent nasa,Interstellar,Interstellar,Matthew McConaughey Jessica Chastain Anne Hathaway Michael Caine Casey Affleck,Christopher Nolan
96,Action Thriller Science Fiction Mystery Adventure,loss of lover dream kidnapping sleep subconsciousness,Inception,Inception,Leonardo DiCaprio Joseph Gordon-Levitt Ellen Page Tom Hardy Ken Watanabe,Christopher Nolan
97,Action Adventure Drama Horror Science Fiction,monster godzilla giant monster destruction kaiju,シン・ゴジラ,Shin Godzilla,Hiroki Hasegawa Yutaka Takenouchi Satomi Ishihara Kengo Kora Matsuo Satoru,Hideaki Anno
98,Adventure Fantasy Action,riddle elves dwarves orcs middle-earth (tolkien),The Hobbit: An Unexpected Journey,The Hobbit: An Unexpected Journey,Ian McKellen Martin Freeman Richard Armitage Andy Serkis Cate Blanchett,Peter Jackson
99,Action Crime Thriller,street gang car race undercover auto-tuning los angeles,The Fast and the Furious,The Fast and the Furious,Paul Walker Vin Diesel Michelle Rodriguez Jordana Brewster Rick Yune,Rob Cohen
100,Fantasy Drama Thriller Mystery Romance,diary navy funeral tea travel,The Curious Case of Benjamin Button,The Curious Case of Benjamin Button,Cate Blanchett Brad Pitt Tilda Swinton Julia Ormond Elle Fanning,David Fincher
101,Action Science Fiction Adventure,cia mutant mine marvel comic superhero,X-Men: First Class,X-Men: First Class,James McAvoy Michael Fassbender Jennifer Lawrence Kevin Bacon Rose Byrne,Matthew Vaughn
102,Action Adventure Science Fiction,revolution strong woman dystopia game of death 3d,The Hunger Games: Mockingjay - Part 2,The Hunger Games: Mockingjay - Part 2,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks,Francis Lawrence
103,Fantasy Adventure Action Comedy Drama,witch fire wolf fountain magic,The Sorcerer's Apprentice,The Sorcerer's Apprentice,Nicolas Cage Jay Baruchel Monica Bellucci Alfred Molina Teresa Palmer,Jon Turteltaub
104,Adventure Action Drama Thriller,new year's eve fire drowning cataclysm loss of father,Poseidon,Poseidon,Kurt Russell Richard Dreyfuss Josh Lucas Jacinda Barrett Emmy Rossum,Wolfgang Petersen
105,Fantasy,based on novel clock queen sequel alice in wonderland,Alice Through the Looking Glass,Alice Through the Looking Glass,Johnny Depp Mia Wasikowska Anne Hathaway Helena Bonham Carter Alan Rickman,James Bobin
106,Fantasy Adventure Animation Comedy Family,ambush sadness stage liberation of prisoners island,Shrek the Third,Shrek the Third,Mike Myers Eddie Murphy Cameron Diaz Julie Andrews Antonio Banderas,Chris Miller
107,Action Adventure Fantasy,video game elves orcs magic chase,Warcraft,Warcraft,Paula Patton Travis Fimmel Ben Foster Robert Kazinsky Dominic Cooper,Duncan Jones
108,Science Fiction Action Thriller Adventure,saving the world artificial intelligence cyborg killer robot future,Terminator Genisys,Terminator Genisys,Arnold Schwarzenegger Jason Clarke Emilia Clarke Jai Courtney J.K. Simmons,Alan Taylor
109,Adventure Family Fantasy,based on novel magic good vs evil king narnia,The Chronicles of Narnia: The Voyage of the Dawn Treader,The Chronicles of Narnia: The Voyage of the Dawn Treader,Skandar Keynes Georgie Henley Simon Pegg Gary Sweet Arthur Angel,Michael Apted
110,History Romance War,nurse patriotism hawaii world war ii pilot,Pearl Harbor,Pearl Harbor,Ben Affleck Josh Hartnett Kate Beckinsale Cuba Gooding Jr. Jon Voight,Michael Bay
111,Adventure Science Fiction Action,destroy transformation alien based on toy transformers,Transformers,Transformers,Shia LaBeouf Josh Duhamel Megan Fox Rachael Taylor Tyrese Gibson,Michael Bay
112,War History Action Adventure Drama,aristotle egypt greece persia elephant,Alexander,Alexander,Colin Farrell Angelina Jolie Val Kilmer Jared Leto Jonathan Rhys Meyers,Oliver Stone
113,Adventure Fantasy Family Mystery,prophecy witch loss of lover magic cutting the cord,Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix,Daniel Radcliffe Rupert Grint Emma Watson Michael Gambon Ralph Fiennes,David Yates
114,Adventure Fantasy Family,magic dying and death broom sorcerer's apprentice school of witchcraft,Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire,Daniel Radcliffe Rupert Grint Emma Watson Ralph Fiennes Michael Gambon,Mike Newell
115,Fantasy Action,flying alcohol love of one's life forbidden love lovers,Hancock,Hancock,Will Smith Charlize Theron Jason Bateman Jae Head Eddie Marsan,Peter Berg
116,Drama Horror Action Thriller Science Fiction,saving the world lost civilisation post-apocalyptic dystopia matter of life and death,I Am Legend,I Am Legend,Will Smith Alice Braga Charlie Tahan Salli Richardson-Whitfield Willow Smith,Francis Lawrence
117,Adventure Comedy Family Fantasy,london england father son relationship chocolate factory worker based on novel,Charlie and the Chocolate Factory,Charlie and the Chocolate Factory,Johnny Depp Freddie Highmore David Kelly AnnaSophia Robb Julia Winter,Tim Burton
118,Animation Comedy Family Fantasy,paris brother brother relationship expensive restaurant river cook,Ratatouille,Ratatouille,Patton Oswalt Ian Holm Lou Romano Brian Dennehy Peter Sohn,Jan Pinkava
119,Action Crime Drama,himalaya martial arts dc comics crime fighter secret identity,Batman Begins,Batman Begins,Christian Bale Michael Caine Liam Neeson Katie Holmes Gary Oldman,Christopher Nolan
120,Family Animation,africa jealousy dance hunger lion,Madagascar: Escape 2 Africa,Madagascar: Escape 2 Africa,Ben Stiller Jada Pinkett Smith David Schwimmer Chris Rock Cedric the Entertainer,Eric Darnell
121,Adventure Fantasy Action Comedy Family,museum theodore roosevelt duringcreditsstinger amelia earhart smithsonian,Night at the Museum: Battle of the Smithsonian,Night at the Museum: Battle of the Smithsonian,Ben Stiller Amy Adams Owen Wilson Hank Azaria Robin Williams,Shawn Levy
122,Adventure Action Thriller Science Fiction,corruption mutant boxer army marvel comic,X-Men Origins: Wolverine,X-Men Origins: Wolverine,Hugh Jackman Liev Schreiber Danny Huston Lynn Collins Ryan Reynolds,Gavin Hood
123,Adventure Action Thriller Science Fiction,saving the world artificial intelligence man vs machine flying philosophy,The Matrix Revolutions,The Matrix Revolutions,Keanu Reeves Laurence Fishburne Carrie-Anne Moss Hugo Weaving Mary Alice,Lilly Wachowski
124,Animation Adventure Family,queen musical princess betrayal snowman,Frozen,Frozen,Kristen Bell Idina Menzel Jonathan Groff Josh Gad Santino Fontana,Chris Buck
125,Adventure Action Thriller Science Fiction,saving the world artificial intelligence man vs machine martial arts kung fu,The Matrix Reloaded,The Matrix Reloaded,Keanu Reeves Carrie-Anne Moss Laurence Fishburne Hugo Weaving Helmut Bakaitis,Lilly Wachowski
126,Action Adventure Fantasy,marvel comic superhero based on comic book hostile takeover norse mythology,Thor: The Dark World,Thor: The Dark World,Chris Hemsworth Natalie Portman Tom Hiddleston Anthony Hopkins Christopher Eccleston,Alan Taylor
127,Action Adventure Science Fiction Thriller,future chase post-apocalyptic dystopia australia,Mad Max: Fury Road,Mad Max: Fury Road,Tom Hardy Charlize Theron Nicholas Hoult Hugh Keays-Byrne Josh Helman,George Miller
128,Thriller Mystery,rome vatican based on novel symbolism christian,Angels & Demons,Angels & Demons,Tom Hanks Ewan McGregor Ayelet Zurer Stellan Skarsg\u00e5rd Pierfrancesco Favino,Ron Howard
129,Adventure Fantasy Action,new mexico banishment shield marvel comic hammer,Thor,Thor,Chris Hemsworth Natalie Portman Tom Hiddleston Anthony Hopkins Stellan Skarsg\u00e5rd,Kenneth Branagh
130,Animation Family Adventure Comedy,hamster kids and family animal cat vs dog duringcreditsstinger,Bolt,Bolt,John Travolta Miley Cyrus Susie Essman Mark Walton Malcolm McDowell,Chris Williams
131,Fantasy Action Adventure Family Comedy,dyr duringcreditsstinger,G-Force,G-Force,Sam Rockwell Pen\u00e9lope Cruz Tracy Morgan Jon Favreau Steve Buscemi,Hoyt Yeatman
132,Adventure,underworld hades mythology greek mythology zeus,Wrath of the Titans,Wrath of the Titans,Sam Worthington Liam Neeson Ralph Fiennes Edgar Ram\u00edrez Toby Kebbell,Jonathan Liebesman
133,Comedy Fantasy,witch imprisonment vampire curse fish out of water,Dark Shadows,Dark Shadows,Johnny Depp Michelle Pfeiffer Helena Bonham Carter Jackie Earle Haley Jonny Lee Miller,Tim Burton
134,Action Adventure Thriller,london england spy austria villain sequel,Mission: Impossible - Rogue Nation,Mission: Impossible - Rogue Nation,Tom Cruise Rebecca Ferguson Simon Pegg Jeremy Renner Ving Rhames,Christopher McQuarrie
135,Drama Horror Thriller,father son relationship victorian england remake rural setting werewolf,The Wolfman,The Wolfman,Benicio del Toro Anthony Hopkins Emily Blunt Hugo Weaving Cristina Contes,Joe Johnston
136,Family Animation Adventure Comedy,factory worker tennis flower florist flower shop,Bee Movie,Bee Movie,Jerry Seinfeld Ren\u00e9e Zellweger Jim Cummings Matthew Broderick Patrick Warburton,Steve Hickner
